word,label
Good day,DATE
today,DATE
America,COUNTRY
youâll,PERSON
Lee,PERSON
this morning's,TIME
2019,DATE
I,CARDINAL
I,CARDINAL
Brian,PERSON
Brian,PERSON
CFO,GPE
Paul,PERSON
1Q,CARDINAL
SEC,ORG
Brian,PERSON
Brian,PERSON
Lee,PERSON
this morning,TIME
our first quarter of 2019,DATE
the first quarter,DATE
$7.3 billion,MONEY
the best quarter,DATE
two,CARDINAL
another record quarter,DATE
0.70,MONEY
13%,PERCENT
the first quarter of 2018,DATE
$8.8 billion,MONEY
4%,PERCENT
more than 400,CARDINAL
around $1billion,MONEY
several quarters,DATE
year-over-year,DATE
this quarter,DATE
the net reserve,ORG
last year,DATE
shares,PRODUCT
shares,PRODUCT
7%,PERCENT
the first quarter of 2018,DATE
1.5 billion,CARDINAL
shares,PRODUCT
the past four years,DATE
three,CARDINAL
this quarter,DATE
three,CARDINAL
17 consecutive quarters,DATE
the last four years or so,DATE
a given quarter,DATE
different quarters,DATE
three,CARDINAL
two,CARDINAL
one,CARDINAL
first,ORDINAL
second,ORDINAL
consumer account,PRODUCT
third,ORDINAL
investment banking,PRODUCT
brokerage,PRODUCT
last year,DATE
12%,PERCENT
two,CARDINAL
7%,PERCENT
the year-over-year,DATE
4%,PERCENT
400,CARDINAL
three,CARDINAL
$57 billion to $53 billion,MONEY
the last four years or so,DATE
each quarter,DATE
United States,COUNTRY
the next 26 months,DATE
15,MONEY
20,MONEY
500,CARDINAL
this quarter,DATE
around $3 billion,MONEY
many years,DATE
savings,PRODUCT
10%,PERCENT
2019,DATE
America,COUNTRY
around $2 billion,MONEY
several years ago,DATE
One,CARDINAL
Each quarter,DATE
five,CARDINAL
I,CARDINAL
24 hours,CARDINAL
loan,PRODUCT
37 million,CARDINAL
27 million,CARDINAL
27%,PERCENT
77%,PERCENT
"800,000",CARDINAL
8% to 9%,PERCENT
a year ago,DATE
3%,PERCENT
the first quarter of 2019,DATE
the strong quarter in first quarter of 2018,DATE
over $700 billion,MONEY
the quarter,DATE
An,CARDINAL
Zelle,GPE
more than 5 million,CARDINAL
$16 billion,MONEY
this quarter,DATE
six,CARDINAL
a couple minutes,TIME
$63 billion,MONEY
our 14th straight quarter,DATE
$40 billion,MONEY
the prior year,DATE
the 8%,PERCENT
Consumer banking,PRODUCT
3%,PERCENT
checking,PRODUCT
7%,PERCENT
last year,DATE
90%,PERCENT
treasury,ORG
treasury,ORG
credit,PRODUCT
seven,CARDINAL
late fourth quarter,DATE
the first quarter,DATE
loan,PRODUCT
1%,PERCENT
$33 billion,MONEY
4%,PERCENT
the last five years,DATE
several years,DATE
this quarter,DATE
this quarter,DATE
quarter,CARDINAL
the last six years,DATE
eight,CARDINAL
the quarter,DATE
I,CARDINAL
I,PERSON
126,CARDINAL
year ago,DATE
16%,PERCENT
57%,PERCENT
59.5%,PERCENT
last year,DATE
Paul,PERSON
our first quarter,DATE
Paul,PERSON
Paul,PERSON
I,CARDINAL
10,CARDINAL
Brian,PERSON
$23 billion,MONEY
$546 billion,MONEY
$4 billion,MONEY
$1.7 billion,MONEY
Q4,GPE
loan,PRODUCT
this quarter,DATE
$7.7 billion,MONEY
112%,PERCENT
January,DATE
the end of March,DATE
CET1,CARDINAL
11.6%,PERCENT
Q4,PERSON
9.5%,PERCENT
11,CARDINAL
I,CARDINAL
a few moments,TIME
$12.4 billion,MONEY
$12.5 billion,MONEY
2018,DATE
NII,DATE
$606 million,MONEY
5%,PERCENT
loan,PRODUCT
loan,PRODUCT
GAAP NII,PERSON
$128 million,MONEY
Q1,GPE
loan,PRODUCT
loan,PRODUCT
the quarter,DATE
Q1,GPE
two less days,DATE
roughly $180 million,MONEY
2.51%,PERCENT
9,CARDINAL
year-over-year,DATE
1,CARDINAL
quarter,CARDINAL
160,CARDINAL
76,CARDINAL
9,CARDINAL
Q4,PERSON
40,CARDINAL
2018,DATE
Fed,ORG
97,CARDINAL
year-over-year,DATE
year-end,DATE
I,PERSON
the year,DATE
a full year,DATE
NII,DATE
6%,PERCENT
2018,DATE
approximately 3%,PERCENT
2019,DATE
loan,PRODUCT
two additional days,DATE
the next couple of quarters,DATE
NII,DATE
European,NORP
season,DATE
loan,PRODUCT
year-end,DATE
credit card,PRODUCT
bond,PRODUCT
one additional day,DATE
the second half of the year,DATE
loan,PRODUCT
an additional day,DATE
Q3,GPE
the year,DATE
the full year of 2019,DATE
roughly half,CARDINAL
2018,DATE
today,DATE
loan,PRODUCT
12,CARDINAL
$13.2 billion,MONEY
$618 million,MONEY
4%,PERCENT
2018,DATE
a full year,DATE
insurance,PRODUCT
the last year,DATE
Merrill,ORG
10 years ago,DATE
Q4,CARDINAL
2018,DATE
$149 million,MONEY
seasonally,DATE
4Q,CARDINAL
Q4,GPE
Q1,GPE
marketâs,CARDINAL
