quarter,AWS,Whole Foods,Prime Now,Alexa,Echo,Prime Video,Fire TV,Prime membership,Kindle,Amazon Fresh,Amazon Music,Twitch,Amazon Studios,Amazon Prime
q2_2015,24.0,0.0,4.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
q3_2015,18.0,0.0,13.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
q4_2015,18.0,0.0,10.0,2.0,8.0,6.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0
q1_2016,22.0,0.0,10.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
q2_2016,19.0,0.0,8.0,1.0,7.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
q3_2016,19.0,0.0,5.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
q4_2016,9.0,0.0,2.0,11.0,10.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
q1_2017,11.0,0.0,6.0,5.0,7.0,3.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
q2_2017,15.0,4.0,7.0,2.0,5.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0
q3_2017,9.0,30.0,5.0,1.0,4.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
q4_2017,17.0,20.0,5.0,9.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
q1_2018,12.0,6.0,5.0,5.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
q2_2018,8.0,14.0,6.0,17.0,6.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0
q3_2018,11.0,15.0,4.0,7.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
q4_2018,12.0,6.0,5.0,5.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
q1_2019,9.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
q2_2019,17.0,2.0,1.0,8.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
q3_2019,13.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q4_2019,19.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
q1_2020,9.0,7.0,1.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
