quarter,Credit,Loan,Investment Banking,Fixed income,investment banking,advisory,private equity,asset management,shares,brokerage,savings,Asset management,credit card,FX,bond,corporate lending,Consumer Banking,Advisory,Investment banking
q2_2015,7.0,0.0,8.0,2.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
q3_2015,13.0,0.0,6.0,5.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q4_2015,12.0,0.0,8.0,8.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1_2016,11.0,1.0,5.0,8.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
q2_2016,3.0,4.0,0.0,3.0,6.0,2.0,1.0,1.0,4.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
q3_2016,5.0,2.0,1.0,4.0,5.0,5.0,5.0,6.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
q4_2016,4.0,1.0,1.0,8.0,6.0,2.0,1.0,4.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
q1_2017,8.0,0.0,0.0,2.0,5.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
q2_2017,3.0,2.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0
q3_2017,5.0,8.0,0.0,3.0,6.0,4.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
q4_2017,5.0,7.0,7.0,2.0,4.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0
q1_2018,23.0,8.0,11.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
q2_2018,9.0,4.0,2.0,0.0,3.0,4.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0
q3_2018,16.0,12.0,11.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0
q4_2018,13.0,8.0,11.0,2.0,0.0,1.0,3.0,1.0,7.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0
q1_2019,9.0,2.0,8.0,1.0,0.0,3.0,7.0,1.0,2.0,2.0,2.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0
q2_2019,17.0,6.0,2.0,1.0,1.0,2.0,5.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0
q3_2019,13.0,5.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,8.0,1.0,0.0,1.0,1.0,2.0,0.0
q4_2019,15.0,29.0,8.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,19.0,6.0,0.0,0.0,6.0,5.0,0.0,0.0
q1_2020,25.0,11.0,2.0,2.0,6.0,2.0,7.0,7.0,1.0,1.0,5.0,1.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0
