quarter,Loan,Credit,credit card,checking,savings,insurance,shares,brokerage,retail banking,investment banking,advisory,checking account,Credit card,bond,checking accounts,Insurance,private equity,asset management,money market
q2_2015,52.0,23.0,0.0,3.0,1.0,2.0,8.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
q3_2015,29.0,8.0,0.0,4.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
q4_2015,24.0,19.0,6.0,3.0,1.0,1.0,0.0,6.0,1.0,7.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
q1_2016,31.0,29.0,6.0,3.0,4.0,4.0,3.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
q2_2016,36.0,20.0,3.0,2.0,0.0,6.0,3.0,2.0,3.0,3.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0
q3_2016,15.0,17.0,18.0,3.0,1.0,1.0,0.0,4.0,15.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
q4_2016,11.0,22.0,6.0,1.0,4.0,2.0,4.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
q1_2017,11.0,16.0,11.0,6.0,3.0,2.0,4.0,0.0,7.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
q2_2017,33.0,18.0,7.0,4.0,7.0,11.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0
q3_2017,33.0,16.0,8.0,2.0,7.0,8.0,1.0,1.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
q4_2017,31.0,15.0,6.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
q1_2018,30.0,11.0,2.0,3.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,2.0
q2_2018,14.0,15.0,6.0,7.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,3.0
q3_2018,37.0,30.0,12.0,10.0,1.0,2.0,3.0,4.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
q4_2018,37.0,32.0,1.0,4.0,1.0,2.0,4.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0
q1_2019,25.0,13.0,4.0,3.0,4.0,0.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
q2_2019,23.0,17.0,2.0,4.0,6.0,0.0,2.0,1.0,2.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
q3_2019,15.0,18.0,5.0,2.0,1.0,0.0,3.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0
q4_2019,13.0,12.0,1.0,2.0,2.0,0.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
q1_2020,40.0,26.0,8.0,2.0,5.0,0.0,3.0,5.0,2.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0
