word,label
Good day,DATE
Apple,ORG
Third Quarter Fiscal Year 2015,DATE
Today,DATE
Nancy Paxton,PERSON
Nancy Paxton,PERSON
Treasury,ORG
afternoon,TIME
first,ORDINAL
today,DATE
Apple,ORG
Tim Cook,PERSON
Luca Maestri,PERSON
today,DATE
Apple,ORG
2014,DATE
10-Q,CARDINAL
the first two quarters of fiscal 2015,DATE
SEC,ORG
today,DATE
the associated press,ORG
Apple,ORG
Tim,PERSON
Timothy D. Cook,PERSON
Nancy,PERSON
Today,DATE
June quarter,DATE
$49.6 billion,MONEY
$10.7 billion,MONEY
year-over-year,DATE
the fiscal third quarter,DATE
the first half of fiscal 2015,DATE
33%,PERCENT
over three years,DATE
45%,PERCENT
over 1 million,CARDINAL
$1.6 billion,MONEY
iPhone,PRODUCT
iPad,PRODUCT
Mac,ORG
Apple Watch,PRODUCT
another stellar quarter,DATE
iPhone,PRODUCT
June quarter,DATE
iPhone,PRODUCT
35%,PERCENT
almost three,CARDINAL
iPhone,PRODUCT
59%,PERCENT
iPhone,PRODUCT
iPhone,PRODUCT
ChangeWave,ORG
iPhone,PRODUCT
iPhone,PRODUCT
86%,PERCENT
iPhone,PRODUCT
50%,PERCENT
Mac,ORG
9%,PERCENT
12%,PERCENT
over $5 billion,MONEY
App Store,PRODUCT
24%,PERCENT
China,COUNTRY
112%,PERCENT
iPhone,PRODUCT
87%,PERCENT
only 5%,PERCENT
China,COUNTRY
Mac,ORG
33%,PERCENT
last year,DATE
China,COUNTRY
App Store,PRODUCT
the quarter,DATE
Luca,PERSON
A,CARDINAL
the past quarter,DATE
Apple,ORG
Apple Watch,PRODUCT
April,DATE
nine,CARDINAL
April 10,DATE
first,ORDINAL
Apple Watch,PRODUCT
mid June,DATE
the quarter,DATE
the end of the quarter,DATE
six,CARDINAL
just the past few days,DATE
Apple Watch,PRODUCT
19,CARDINAL
three,CARDINAL
the end of this month,DATE
Apple Watch,PRODUCT
97%,PERCENT
Apple Watch,PRODUCT
every day,DATE
daily,DATE
94%,PERCENT
Apple Watch,PRODUCT
every day,DATE
third,ORDINAL
Apple Watch,PRODUCT
just the first few weeks,DATE
US,GPE
Europe,LOC
Apple Watch,PRODUCT
Nebraska,ORG
Apple Watch,PRODUCT
Louisiana,GPE
Apple Watch,PRODUCT
daily,DATE
London,GPE
Apple Watch,PRODUCT
Apple Watch,PRODUCT
healthcare,ORG
Apple Pay,PRODUCT
Siri,PRODUCT
third,ORDINAL
Apple Watch,PRODUCT
Apple,ORG
2,CARDINAL
Apple Watch,PRODUCT
Apple,ORG
June,DATE
thousands,CARDINAL
70,CARDINAL
Apple,ORG
three,CARDINAL
X,CARDINAL
iOS,PRODUCT
X,CARDINAL
iOS,PRODUCT
9,CARDINAL
three,CARDINAL
the fall,DATE
iPhone,PRODUCT
iPad,PRODUCT
iOS,PRODUCT
9,CARDINAL
million,CARDINAL
25,CARDINAL
more than 75,CARDINAL
Reuters,ORG
Daily,DATE
The September quarter,DATE
Apple Music,PRODUCT
100,CARDINAL
June 30,DATE
Apple Music,PRODUCT
one,CARDINAL
24 hours,TIME
Apple Music,PRODUCT
Millions and millions,CARDINAL
three-month,DATE
every day,DATE
"Over 15,000",CARDINAL
Millions,CARDINAL
1,CARDINAL
first,ORDINAL
Apple Music,PRODUCT
Last week,DATE
Apple Pay,PRODUCT
day one,DATE
"over 250,000",CARDINAL
Apple Pay,PRODUCT
Apple Pay,PRODUCT
London,GPE
London,GPE
US,GPE
this fall,DATE
Apple Pay,PRODUCT
every day,DATE
"80,000",CARDINAL
every month,DATE
American Express,ORG
Apple Pay,PRODUCT
next month,DATE
the school year,DATE
700,CARDINAL
Apple Pay,PRODUCT
Auburn University,ORG
the University of California Irvine,ORG
Colorado State University,ORG
the University of Kentucky,ORG
the University of Oklahoma,ORG
Apple Pay,PRODUCT
over 1.5 million,CARDINAL
the end of 2015,DATE
Luca,PERSON
Luca Maestri,PERSON
Tim,PERSON
afternoon,TIME
the first half of our fiscal 2015,DATE
the June quarter,DATE
$49.6 billion,MONEY
$12.2 billion,MONEY
33%,PERCENT
year,DATE
year,DATE
iPhone,PRODUCT
Apple Watch,PRODUCT
Mac,ORG
App Store,PRODUCT
over 1 million,CARDINAL
Tim,PERSON
China,COUNTRY
year,DATE
year,DATE
over $13 billion,MONEY
79%,PERCENT
almost $18 billion,MONEY
35%,PERCENT
39.7%,PERCENT
iPhone,PRODUCT
28.4%,PERCENT
$10.7 billion,MONEY
June quarter,DATE
1.85,MONEY
45%,PERCENT
year,DATE
$15 billion,MONEY
third quarter,DATE
iPhone,PRODUCT
47.5 million,CARDINAL
iPhones,PRODUCT
the quarter,DATE
35%,PERCENT
year,DATE
year,DATE
iPhone 6,PRODUCT
iPhone,PRODUCT
Germany,COUNTRY
Korea,COUNTRY
Malaysia,COUNTRY
Vietnam,COUNTRY
over 85%,PERCENT
China,COUNTRY
India,COUNTRY
more than 45%,PERCENT
Italy,COUNTRY
Spain,COUNTRY
Netherlands,COUNTRY
Turkey,COUNTRY
iPhone 6,PRODUCT
iPhone,PRODUCT
660,MONEY
99,MONEY
iPhone,PRODUCT
"about 600,000",CARDINAL
the quarter,DATE
5 to 7 weeks,DATE
Mac,ORG
4.8 million,CARDINAL
9%,PERCENT
several years in a row,DATE
12%,PERCENT
Mac,ORG
the quarter,DATE
our 4 to 5 week,DATE
Mac channel inventory,ORG
iPad,PRODUCT
10.9 million,CARDINAL
13.3 million,CARDINAL
the year-ago quarter,DATE
iPad,PRODUCT
11.2 million,CARDINAL
"about 300,000",CARDINAL
our 5 to 7 week,DATE
iPad,PRODUCT
