word,label
Good day,DATE
Apple,ORG
First Quarter Fiscal Year 2016,DATE
Today,DATE
Nancy Paxton,PERSON
Nancy Paxton,PERSON
afternoon,TIME
today,DATE
SEC,ORG
earlier today,TIME
first,ORDINAL
today,DATE
Apple,ORG
Tim Cook,PERSON
Luca Maestri,PERSON
today,DATE
Apple,ORG
2015,DATE
SEC,ORG
today,DATE
today,DATE
Apple,ORG
Tim,PERSON
Tim Cook,PERSON
Nancy,PERSON
afternoon,TIME
Today,DATE
Apple,ORG
quarterly,DATE
$75.9 billion,MONEY
the December quarter,DATE
2%,PERCENT
last year's,DATE
us,GPE
8%,PERCENT
quarterly,DATE
$18.4 billion,MONEY
74.8 million,CARDINAL
iPhones,PRODUCT
the December quarter,DATE
"over 34,000",CARDINAL
iPhones,PRODUCT
24 hours,TIME
seven days,DATE
13 straight weeks,DATE
almost 50%,PERCENT
just two years ago,DATE
more than four,CARDINAL
five years ago,DATE
74.8 million,CARDINAL
iPhones,PRODUCT
iPhone,PRODUCT
Brazil,COUNTRY
Russia,COUNTRY
Japan,COUNTRY
Canada,COUNTRY
Southeast Asia,LOC
Australia,COUNTRY
Turkey,COUNTRY
the end of fiscal 2014,DATE
British,NORP
Canadian,NORP
Australian,NORP
Mexican,NORP
Turkish,NORP
20%,PERCENT
Brazilian,NORP
more than 40%,PERCENT
Russian,NORP
more than 50%,PERCENT
66%,PERCENT
Apple,ORG
United States,COUNTRY
one,CARDINAL
100,MONEY
Apple,ORG
Q4 of 2014,DATE
only $85,MONEY
last quarter,DATE
Last quarter,DATE
two,CARDINAL
8%,PERCENT
$80.8 billion,MONEY
$5 billion,MONEY
annual,DATE
500,CARDINAL
China,COUNTRY
Last summer,DATE
China,COUNTRY
iPhone,PRODUCT
Mac,ORG
App Store,PRODUCT
the December quarter,DATE
China,COUNTRY
14%,PERCENT
last year,DATE
47%,PERCENT
17%,PERCENT
quarterly,DATE
iPhone,PRODUCT
App Store,PRODUCT
China,COUNTRY
earlier this month,DATE
Hong Kong,COUNTRY
China,COUNTRY
Apple,ORG
Android,ORG
iPhone,PRODUCT
Apple,ORG
Apple,ORG
India,COUNTRY
last quarterly,DATE
iPad Pro,PRODUCT
Apple Pencil,PRODUCT
Apple,ORG
TV,PRODUCT
App Store,PRODUCT
Apple,ORG
TV,PRODUCT
Apple,ORG
TV,PRODUCT
Today,DATE
"over 3,600",CARDINAL
Apple Watch,PRODUCT
"almost 12,000",CARDINAL
48,CARDINAL
the quarter,DATE
quarterly,DATE
Apple Watch,PRODUCT
the month of December,DATE
X,CARDINAL
iMac,PRODUCT
Apple Pay,PRODUCT
Canada,COUNTRY
Australia,COUNTRY
American Express,ORG
China,COUNTRY
Hong Kong,COUNTRY
Spain,COUNTRY
Singapore,COUNTRY
the coming year,DATE
billions of dollars,MONEY
Apple Pay,PRODUCT
the second half of 2015,DATE
10,CARDINAL
the first half of the year,DATE
over 5 million,CARDINAL
Apple Pay,PRODUCT
today,DATE
thousands,CARDINAL
Exxon,ORG
Mobil,ORG
app,ORG
Apple Music,PRODUCT
10 million,CARDINAL
less than four months,DATE
almost $216 billion,MONEY
nearly $39,MONEY
Apple,ORG
Apple,ORG
First,ORDINAL
second,ORDINAL
451,CARDINAL
99%,PERCENT
iPhone 6S,PRODUCT
6S,PRODUCT
97%,PERCENT
iPad,PRODUCT
2,CARDINAL
iPhone,PRODUCT
Apple,ORG
1 billion,CARDINAL
first,ORDINAL
1 billion,CARDINAL
Luca,PERSON
quarterly,DATE
Luca Maestri,PERSON
Tim,PERSON
afternoon,TIME
Each quarter,DATE
App Store,PRODUCT
AppleCare,PRODUCT
iCloud,PRODUCT
Apple Pay,PRODUCT
Today,DATE
three,CARDINAL
TV,PRODUCT
quarter,CARDINAL
App Store,PRODUCT
app,ORG
fiscal 2015,DATE
more than $31 billion,MONEY
23%,PERCENT
fiscal 2014,DATE
the recent December quarter,DATE
$8.9 billion,MONEY
24%,PERCENT
year-over-year,DATE
four,CARDINAL
the past 90 days,DATE
1 billion,CARDINAL
year-over-year,DATE
more than 25%,PERCENT
Apple,ORG
one,CARDINAL
four,CARDINAL
iOS,PRODUCT
Mac,ORG
Apple,ORG
December quarter,DATE
Tim,PERSON
$75.9 billion,MONEY
$1.3 billion,MONEY
2%,PERCENT
year-over-year,DATE
iPhone,PRODUCT
Apple Watch,PRODUCT
Apple,ORG
TV,PRODUCT
8%,PERCENT
China,COUNTRY
14%,PERCENT
47%,PERCENT
$18.4 billion,MONEY
11%,PERCENT
year-over-year,DATE
34%,PERCENT
the quarter,DATE
40.1%,PERCENT
31.9%,PERCENT
$18.4 billion,MONEY
3.28,MONEY
7%,PERCENT
year,DATE
$27.5 billion,MONEY
iPhone,PRODUCT
74.8 million,CARDINAL
iPhones,PRODUCT
the quarter,DATE
"300,000",CARDINAL
last December quarter's,DATE
iPhone,PRODUCT
76%,PERCENT
India,COUNTRY
more than 45%,PERCENT
Korea,COUNTRY
Middle East,COUNTRY
Africa,COUNTRY
20%,PERCENT
western European,NORP
18%,PERCENT
China,COUNTRY
iPhone,PRODUCT
691,MONEY
687,MONEY
the year ago quarter,DATE
iPhone,PRODUCT
the March quarter,DATE
451,CARDINAL
79%,PERCENT
iPhones,PRODUCT
iPhone,PRODUCT
eight-year,DATE
the quarter,DATE
the quarter,DATE
five to seven weeks,DATE
iPhone,PRODUCT
Mac,ORG
5.3 million,CARDINAL
5.5 million,CARDINAL
last year,DATE
4%,PERCENT
11%,PERCENT
27%,PERCENT
China,COUNTRY
the quarter,DATE
four to five-week,CARDINAL
Mac channel inventory,ORG
iPad,PRODUCT
