quarter,iPhone,iPad,iOS,Apple Watch,App Store,Apple Pay,AirPods,Apple Music,TV,iPhone X,Siri,AppleCare,iPad Pro,iPhone 6,iPhone 7 Plus,iPhone SE,Apple Card,HomePod,iPhone 11,iPhone 7,iCloud
q3_2015,44.0,23.0,8.0,21.0,5.0,10.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q4_2015,48.0,18.0,13.0,11.0,7.0,6.0,0.0,5.0,5.0,0.0,1.0,2.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1_2016,40.0,14.0,5.0,6.0,7.0,4.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
q2_2016,43.0,24.0,4.0,9.0,6.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0
q3_2016,55.0,12.0,15.0,3.0,6.0,12.0,0.0,0.0,6.0,0.0,7.0,1.0,5.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0
q4_2016,38.0,12.0,8.0,6.0,5.0,10.0,0.0,3.0,0.0,0.0,9.0,1.0,3.0,2.0,10.0,1.0,0.0,0.0,0.0,11.0,0.0
q1_2017,25.0,19.0,12.0,8.0,7.0,3.0,3.0,1.0,1.0,0.0,3.0,2.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,4.0,1.0
q2_2017,34.0,13.0,8.0,4.0,5.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,1.0,0.0,0.0,0.0,3.0,1.0
q3_2017,27.0,33.0,21.0,4.0,9.0,5.0,2.0,6.0,1.0,0.0,3.0,0.0,3.0,2.0,4.0,3.0,0.0,3.0,0.0,3.0,2.0
q4_2017,36.0,17.0,14.0,7.0,11.0,3.0,1.0,3.0,1.0,16.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
q1_2018,52.0,17.0,3.0,4.0,7.0,5.0,1.0,3.0,0.0,11.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0
q2_2018,40.0,11.0,5.0,6.0,4.0,7.0,4.0,3.0,0.0,13.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0
q3_2018,47.0,21.0,11.0,13.0,12.0,9.0,7.0,7.0,12.0,8.0,7.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0
q4_2018,27.0,14.0,19.0,6.0,12.0,9.0,1.0,4.0,1.0,5.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
q1_2019,47.0,13.0,7.0,5.0,9.0,12.0,2.0,3.0,2.0,2.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
q2_2019,17.0,25.0,6.0,5.0,9.0,9.0,3.0,3.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
q3_2019,29.0,29.0,9.0,9.0,13.0,7.0,1.0,3.0,14.0,0.0,1.0,10.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
q4_2019,33.0,20.0,4.0,13.0,5.0,3.0,9.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0
q1_2020,34.0,16.0,1.0,14.0,7.0,3.0,11.0,2.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,4.0,0.0,6.0,0.0,1.0
q2_2020,34.0,16.0,1.0,14.0,7.0,3.0,11.0,2.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,4.0,0.0,6.0,0.0,1.0
