FINPRODUCT,PRODUCT,DISEASE,ORG
treasury and trade solutions,airpods,covid-19,institutional clients group
investment banking,tv,,citigroup
global consumer banking ,apple watch,,invest lab
markets and security services,homepod,,swiss finance center
loan,imac ,,apac financing group
digital deposit,imac pro,,credit suisse
atm,ipad,,
citi wealth builder,ipads,,
branded cards,iphone,,
retail banking,iphones,,
corporate fixed deposits,ipod touch,,
citigold,mac pro,,
international consumer banking,macbook air,,
insurance,macbook pro,,
credit,lisa,,
private bank,ios,,
corporate lending ,apple music,,
fixed income,facetime,,
citi facilities ,garageband,,
private banking,icloud,,
securities joint venture,ilife,,
client solutions,imessage,,
digital banking,imovie,,
bond,itunes,,
fx,iwork,,
origination & advisory,,,
debt capital markets,google search,,
esg,google images,,
corporate finance,you tube,,
mutual funds,google news,,
nps,google finance,,
capital gain bonds,google shopping,,
shares,google books,,
treasury bills,google patents,,
annuities,google scholar,,
certificate of deposit,google maps,,
cds,google assistant,,
cdo,google alerts,,
bill payments,google translate,,
advisory,google ads,,
brokerage,admob,,
,google marketing platform,,
,gmail,,
,google hangouts,,
,google calender,,
,google docs,,
,google sheets,,
,google forms,,
,google slides,,
,google sutes,,
,google contacts,,
,google groups,,
,blogger,,
,google hire,,
,google buisness solutions,,
,google drive,,
,google play music,,
,google cloud,,
,google voice,,
,google classroom,,
,google transit,,
,google analytics,,
,nexus,,
,google driverless car,,
,pixel,,
,google glass,,
,chromecast,,
,google home,,
,google wifi,,
